Disclaimers
• This report includes the listings that were active at the time of report generation.

"Report for Feb 19, 2026 to Feb 19, 2026 compared to Feb 18, 2026 - Feb 18, 2026"
Listing title,eBay item ID,Item Start Date,Category,Current promoted listings status,Quantity available,Total impressions,Click-through rate = Page views from eBay site/Total impressions,Quantity sold,% Top 20 Search Impressions,Sales conversion rate = Quantity sold/Total page views,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Total Search Impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total Promoted Listings impressions (applies to eBay site only),Total Promoted Offsite impressions (applies to off-eBay only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),
Jacob Melton Rookie RC 2026 Topps Spring Training Astros #148,="358225211036",2026-02-16,Trading Card Singles,Promoted,1,54,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,34,-50.7%,20,81.8%,34,0,20,0,0,0,0,0,
Pete Crow-Armstrong 2026 Topps Series 1 Baseball Chicago Cubs #196,="358226462328",2026-02-16,Trading Card Singles,Promoted,1,50,0.0%,0,66.7%,-,0,100.0%,2,-80.0%,1,3,37,-77.0%,10,-41.2%,37,0,13,0,0,0,0,0,
Travis Hunter 2025 Prizm Draft Picks RC Student Orientation Green Rookie #7,="358226473367",2026-02-16,Trading Card Singles,Promoted,1,6,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,5,-77.3%,0,-100.0%,5,0,1,0,0,0,0,0,
Paul Skenes 2026 Topps Titans of the Game #TOG-14 Pirates RC Insert,="358226491939",2026-02-17,Trading Card Singles,Promoted,1,39,2.6%,0,0.0%,0.0%,0,100.0%,0,-,1,1,32,-25.6%,6,-33.3%,32,0,7,1,0,0,1,0,
Drake Maye 2024 Donruss Optic Rated Rookie Green Hyper Prizm #229 RC Patriots,="358226522356",2026-02-17,Trading Card Singles,Promoted,1,892,0.2%,0,23.3%,0.0%,1,-80.0%,6,-88.5%,23,30,680,-83.4%,182,-65.1%,683,0,209,2,2,0,0,0,
Jaxson Dart RC 2025 Panini Prizm Prizmatic Rookie #6 Ole Miss NFL Draft,="358226884835",2026-02-17,Trading Card Singles,Promoted,1,19,0.0%,0,25.0%,-,0,100.0%,1,-90.0%,3,4,0,100.0%,15,-6.3%,0,0,19,0,0,0,0,0,
Terrance Ferguson 2025 Panini Rookies & Stars Crusade Red Plaid Prizm #27 RC,="358228285136",2026-02-17,Trading Card Singles,Promoted,1,14,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,2,2,6,-88.2%,6,-57.1%,6,0,8,0,0,0,0,0,
Aaron Judge 2026 Topps Profiles #TP-18 Yankees Insert,="358228886835",2026-02-17,Trading Card Singles,Promoted,1,27,3.7%,0,0.0%,0.0%,0,100.0%,0,-100.0%,0,0,17,-37.0%,10,150.0%,17,0,10,1,0,0,1,0,
Drake Maye 2024 Score RC 35th Anniversary Rookie #3 Patriots,="358228916840",2026-02-17,Trading Card Singles,Promoted,1,16,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,10,-75.6%,5,25.0%,10,0,6,0,0,0,0,0,
Patrick Mahomes 2023 Panini Select II Green Yellow Prizm #140 Chiefs,="358228960847",2026-02-18,Trading Card Singles,Promoted,1,118,0.0%,0,54.8%,-,0,100.0%,34,36.0%,28,62,32,-11.1%,24,-72.4%,32,0,86,0,0,0,0,0,
Tetairoa McMillan 2025 Rookies & Stars RC Crusade Silver #6 Rookie,="358229263533",2026-02-17,Trading Card Singles,Promoted,1,21,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,2,2,13,-75.5%,6,-91.5%,13,0,8,0,0,0,0,0,
Colston Loveland 2025 Rookies & Stars RC Crusade Silver #15 Bears Rookie,="358229457727",2026-02-17,Trading Card Singles,Promoted,1,39,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,25,-75.5%,13,-66.7%,25,0,14,0,0,0,0,0,
Terrance Ferguson 2025 Rookies & Stars RC Crusade Red Prizm #27 Rams Rookie,="358229463212",2026-02-17,Trading Card Singles,Promoted,1,22,0.0%,0,50.0%,-,0,100.0%,1,-66.7%,1,2,13,-68.3%,7,-46.2%,13,0,9,0,0,0,0,0,
Tyler Shough 2025 Panini Prizm Draft Picks RC Rookie #49,="358229476910",2026-02-17,Trading Card Singles,Promoted,1,28,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,18,-61.7%,10,11.1%,18,0,10,0,0,0,0,0,
Bo Jackson 1987 Topps RC #170 Future Stars Rookie Royals MLB,="358229489354",2026-02-17,Trading Card Singles,Non-promoted,1,22,9.1%,0,0.0%,0.0%,0,100.0%,0,-100.0%,3,3,0,100.0%,19,216.7%,0,0,22,2,0,0,2,0,
RJ Harvey 2025 Panini Prizm Draft Picks RC Green Prizm #135 Rookie,="358229500887",2026-02-17,Trading Card Singles,Promoted,1,15,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,14,0.0%,1,-80.0%,14,0,1,0,0,0,0,0,
JACE AVINA 2023 Bowman Chrome 1st Lunar Refractor #BCP-150,="358229775591",2026-02-17,Trading Card Singles,Promoted,1,32,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,17,-73.0%,15,0.0%,17,0,15,0,0,0,0,0,
2023 Bowman Chrome Justin Crawford 1st BCP-3 Prospect Phillies,="358229784521",2026-02-17,Trading Card Singles,Promoted,1,54,0.0%,0,0.0%,-,0,-100.0%,0,-100.0%,7,7,29,-61.3%,18,-25.0%,29,0,25,0,0,0,0,0,
Josue De Paula 2023 Bowman Chrome 1st BCP-111 Prospect Dodgers,="358229809053",2026-02-17,Trading Card Singles,Promoted,1,74,0.0%,0,18.2%,-,0,-100.0%,2,-94.3%,9,11,40,-38.5%,23,-66.7%,40,0,34,0,0,0,0,0,
Junior Caminero 2023 Bowman Chrome 1st BCP-61 Prospect Rays,="358229816609",2026-02-17,Trading Card Singles,Promoted,1,56,3.6%,0,50.0%,0.0%,0,100.0%,4,-92.0%,4,8,28,7.7%,20,42.9%,28,0,28,2,0,0,2,0,
Max Wagner 2023 Bowman Chrome 1st BCP-8 Prospect Orioles,="358229834092",2026-02-17,Trading Card Singles,Promoted,1,31,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,21,600.0%,10,900.0%,21,0,10,0,0,0,0,0,
Joe Burrow 2025 Panini Score Green Parallel #284 Bengals NFL QB Card NM,="358231446725",2026-02-18,Trading Card Singles,Promoted,1,2,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,1,-80.0%,1,-83.3%,1,0,1,0,0,0,0,0,
Garrett Wilson 2025 Panini Prizm White Disco #178 New York Jets,="358231448424",2026-02-18,Trading Card Singles,Promoted,1,13,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,4,-75.0%,8,-46.7%,4,0,9,0,0,0,0,0,
Luisangel Acuna 2025 Topps RC 1990 Topps Insert T90-222 Mets Rookie,="358231535818",2026-02-18,Trading Card Singles,Promoted,1,44,2.3%,0,50.0%,0.0%,0,100.0%,3,-62.5%,3,6,25,"1,150.0%",13,116.7%,25,0,19,1,0,0,1,0,
2025 Panini Revolution Tyler Shough RC Red Storm #246 Rookie Parallel,="358231591100",2026-02-18,Trading Card Singles,Promoted,1,29,0.0%,0,46.7%,-,0,100.0%,7,-89.1%,8,15,3,-57.1%,11,-38.9%,3,0,26,0,0,0,0,0,
Kyren Williams 2025 Panini Score Gold Zone #55 /499 Rams Parallel,="358231675976",2026-02-18,Trading Card Singles,Promoted,1,9,0.0%,0,50.0%,-,0,100.0%,1,-80.0%,1,2,3,-70.0%,4,-60.0%,3,0,6,0,0,0,0,0,
Ronald Acuna Jr 2026 Topps Series 1 Stars Of MLB #SMLB-15 Atlanta Braves,="358231702892",2026-02-18,Trading Card Singles,Promoted,1,16,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,8,-86.2%,7,0.0%,8,0,8,0,0,0,0,0,
Cam Skattebo RC 2025 Panini Score Rookie #1 Arizona State RB,="358231814788",2026-02-18,Trading Card Singles,Promoted,1,1,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,0,-100.0%,1,-87.5%,0,0,1,0,0,0,0,0,
2026 Topps Series 1 - Corbin Carroll Titans Of The Game #TOG-6 Diamondbacks,="358232306475",2026-02-18,Trading Card Singles,Promoted,1,26,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,2,2,6,-14.3%,18,63.6%,6,0,20,0,0,0,0,0,
Bryce Harper 2026 Topps Titans Of The Game #TOG-18 Phillies MLB,="358232319513",2026-02-18,Trading Card Singles,Promoted,1,14,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,7,7,1,-94.7%,6,100.0%,1,0,13,0,0,0,0,0,
Corey Seager  2026 Topps 1991 Insert #T91-65 Rangers MLB,="358232811691",2026-02-18,Trading Card Singles,Promoted,1,28,3.6%,0,40.0%,0.0%,0,100.0%,2,-75.0%,3,5,12,500.0%,11,83.3%,12,0,16,1,0,0,1,0,
Cam Skattebo 2025 Prizm Draft Picks RC Rookie #F-CSO,="358232815737",2026-02-18,Trading Card Singles,Promoted,1,23,0.0%,0,33.3%,-,0,100.0%,1,-87.5%,2,3,12,-36.8%,8,0.0%,12,0,11,0,0,0,0,0,
Roman Anthony 2026 Topps Series 1 TITANS of The Game  #TOG-9 RC Boston RED SOX,="358233248592",2026-02-18,Trading Card Singles,Promoted,1,117,2.6%,0,1.8%,0.0%,0,100.0%,1,-98.2%,56,57,30,500.0%,30,275.0%,30,0,87,3,0,0,3,0,
Roman Anthony 2026 Topps Series 1 TITANS of The Game  #TOG-9 RC Boston RED SOX,="358233326067",2026-02-18,Trading Card Singles,Promoted,1,114,1.8%,0,4.1%,0.0%,0,100.0%,3,-94.4%,70,73,23,666.7%,18,125.0%,23,0,91,2,0,0,2,0,
2025 Bowman Draft Mojo Chrome Tyler Bremner 1st BDC-37 Angels,="358233344849",2026-02-18,Trading Card Singles,Promoted,1,34,2.9%,0,25.0%,0.0%,0,100.0%,1,-90.9%,3,4,15,275.0%,15,"1,400.0%",17,0,17,1,0,0,1,0,
Mike Trout 2026 Topps Series 1 - Titans Of The Game #TOG-2 Angels,="358233405073",2026-02-18,Trading Card Singles,Promoted,1,34,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,15,15,1,-66.7%,18,"1,700.0%",1,0,33,0,0,0,0,0,
Brock Bowers 2024 Donruss Optic Pink Velocity Rated Rookie RC #215 Raiders,="358233474591",2026-02-18,Trading Card Singles,Promoted,1,58,0.0%,0,44.7%,-,1,100.0%,16,88.9%,21,38,11,"1,000.0%",9,350.0%,12,0,46,0,0,0,0,0,
Jacob Melton 2026 Topps RC Spring Training Foil #148 Astros Rookie,="358233484554",2026-02-18,Trading Card Singles,Promoted,1,59,0.0%,0,50.0%,-,1,100.0%,1,-50.0%,2,4,40,"3,900.0%",15,"1,400.0%",41,0,18,0,0,0,0,0,
2025 Topps Cal Raleigh 1990 Topps Baseball #90B2-13 Mariners,="358233555170",2026-02-18,Trading Card Singles,Promoted,1,45,2.2%,0,29.4%,0.0%,0,100.0%,5,400.0%,12,17,7,100.0%,21,950.0%,7,0,38,1,0,0,1,0,
2025 Topps Series 2 - 1990 Topps Chrome Silver Pack All-Stars Nolan Ryan...,="358233561905",2026-02-18,Trading Card Singles,Promoted,1,120,1.7%,0,46.9%,0.0%,0,-100.0%,30,172.7%,34,64,33,"3,200.0%",23,"1,050.0%",33,0,87,2,0,0,2,0,
Shohei Ohtani 2025 Topps OPS Leaders #OPS-2 Dodgers,="358233571949",2026-02-18,Trading Card Singles,Promoted,1,49,2.0%,0,0.0%,0.0%,0,-100.0%,0,-100.0%,27,27,8,100.0%,14,600.0%,8,0,41,1,0,0,1,0,
2026 Topps Series 1 - Fernando Tatis Jr Silver Foil #333 Padres,="358233581788",2026-02-18,Trading Card Singles,Promoted,1,129,2.3%,0,38.0%,0.0%,0,100.0%,19,90.0%,31,50,45,650.0%,34,"1,600.0%",45,0,84,3,0,0,3,0,
Bryan Woo 2026 Topps Series 1 Baseball Spring Training Foil #62 SP Mint,="358233589619",2026-02-19,Trading Card Singles,Promoted,1,62,0.0%,0,38.2%,-,0,100.0%,13,116.7%,21,34,11,450.0%,17,100.0%,13,0,49,0,0,0,0,0,
